titulaire-soutien,titulaire-liste,count,orientation_label,keep_for_binary,notes
Front national,non mentionné,552,right,yes,pré-rempli automatiquement
Parti communiste français,non mentionné,416,left,yes,pré-rempli automatiquement
Nouveaux écologistes du rassemblement nature et animaux,non mentionné,384,other,no,pré-rempli automatiquement
Verts;Génération écologie,Entente des écologistes,292,other,no,pré-rempli automatiquement
non mentionné,non mentionné,292,other,no,corrigé automatiquement : ambigu
Lutte ouvrière,non mentionné,234,left,yes,pré-rempli automatiquement
non mentionné,Alliance des Français pour le progrès,160,other,no,corrigé automatiquement : ambigu
Parti socialiste,Alliance des Français pour le progrès,128,left,yes,pré-rempli automatiquement
Génération écologie;Verts,Entente des écologistes,113,other,no,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française,Union pour la France,106,right,yes,pré-rempli automatiquement
Parti de la loi naturelle,non mentionné,94,other,no,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République,Union pour la France,86,right,yes,pré-rempli automatiquement
Nouveaux écologistes du rassemblement nature et animaux;Union nationale écologiste;Parti pour la défense des animaux;Mouvement universaliste,non mentionné,82,other,no,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française,non mentionné,79,right,yes,pré-rempli automatiquement
Ligue communiste révolutionnaire,A gauche vraiment,62,left,yes,corrigé automatiquement : liste explicitement à gauche
Union pour la démocratie française;Rassemblement pour la République,non mentionné,61,right,yes,pré-rempli automatiquement
Ecologie les Verts;Génération écologie,Entente des écologistes,58,other,no,pré-rempli automatiquement
Parti socialiste,non mentionné,56,left,yes,pré-rempli automatiquement
Mouvement des citoyens,non mentionné,50,left,yes,pré-rempli automatiquement
indépendant,non mentionné,47,other,no,corrigé automatiquement : ambigu
Parti des travailleurs,non mentionné,44,left,yes,pré-rempli automatiquement
Rassemblement pour la République,non mentionné,43,right,yes,pré-rempli automatiquement
Union des indépendants,non mentionné,43,other,no,pré-rempli automatiquement
Parti communiste français,Rassemblement des forces de progrès,40,left,yes,pré-rempli automatiquement
non mentionné,Union pour la France,38,right,yes,pré-rempli automatiquement
Mouvement des démocrates,non mentionné,35,other,no,pré-rempli automatiquement
