titulaire-soutien,titulaire-liste,count,orientation_label,keep_for_binary,notes
Front national,non mentionné,552,,,
Parti communiste français,non mentionné,416,,,
Nouveaux écologistes du rassemblement nature et animaux,non mentionné,384,,,
Verts;Génération écologie,Entente des écologistes,292,,,
non mentionné,non mentionné,292,,,
Lutte ouvrière,non mentionné,234,,,
non mentionné,Alliance des Français pour le progrès,160,,,
Parti socialiste,Alliance des Français pour le progrès,128,,,
Génération écologie;Verts,Entente des écologistes,113,,,
Rassemblement pour la République;Union pour la démocratie française,Union pour la France,106,,,
Parti de la loi naturelle,non mentionné,94,,,
Union pour la démocratie française;Rassemblement pour la République,Union pour la France,86,,,
Nouveaux écologistes du rassemblement nature et animaux;Union nationale écologiste;Parti pour la défense des animaux;Mouvement universaliste,non mentionné,82,,,
Rassemblement pour la République;Union pour la démocratie française,non mentionné,79,,,
Ligue communiste révolutionnaire,A gauche vraiment,62,,,
Union pour la démocratie française;Rassemblement pour la République,non mentionné,61,,,
Ecologie les Verts;Génération écologie,Entente des écologistes,58,,,
Parti socialiste,non mentionné,56,,,
Mouvement des citoyens,non mentionné,50,,,
indépendant,non mentionné,47,,,
Parti des travailleurs,non mentionné,44,,,
Rassemblement pour la République,non mentionné,43,,,
Union des indépendants,non mentionné,43,,,
Parti communiste français,Rassemblement des forces de progrès,40,,,
non mentionné,Union pour la France,38,,,
Mouvement des démocrates,non mentionné,35,,,
Solidarité écologie gauche alternative,non mentionné,35,,,
Alliance populaire,Rassemblement des forces nationales,34,,,
Centre national des indépendants;Démocratie chrétienne française,non mentionné,33,,,
Parti socialiste;Mouvement des radicaux de gauche,non mentionné,32,,,
Verts,Entente des écologistes,31,,,
Mouvement des réformateurs,non mentionné,31,,,
Alliance pour l'écologie et la démocratie,Union pour l'écologie et la démocratie,30,,,
Union pour la démocratie française,non mentionné,30,,,
Parti du ras le bol,non mentionné,23,,,
Alliance populaire,non mentionné,22,,,
Parti des travailleurs;Alliance européenne des travailleurs,non mentionné,22,,,
Centre national des indépendants et paysans;Démocratie chrétienne française,non mentionné,22,,,
Parti socialiste;Mouvement des radicaux de gauche,Alliance des Français pour le progrès,21,,,
non mentionné,Union pour l'écologie et la démocratie,19,,,
Parti des travailleurs;Alliance européenne des travailleurs;Entente internationale des travailleurs,non mentionné,19,,,
sans étiquette,non mentionné,17,,,
Chasse pêche nature traditions,non mentionné,16,,,
Union pour la démocratie française;Rassemblement pour la République,Union de l'opposition,14,,,
Génération écologie,Entente des écologistes,13,,,
Parti communiste français,Rassemblement des forces de gauche et de progrès,12,,,
communiste,non mentionné,10,,,
Parti communiste français,Rassemblement des forces de progrès et de gauche,10,,,
non mentionné,Opposition,10,,,
libre,non mentionné,10,,,
divers droite,non mentionné,9,,,
Nouvelle solidarité,non mentionné,9,,,
aucun parti politique,non mentionné,8,,,
