titulaire-liste,count
non mentionné,3123
Entente des écologistes,541
Alliance des Français pour le progrès,324
Union pour la France,268
A gauche vraiment,67
Union pour l'écologie et la démocratie,59
Rassemblement des forces de progrès,42
Union de l'opposition,40
Rassemblement des forces nationales,35
Opposition,28
Enjeu France,19
Rassemblement des forces de gauche et de progrès,14
Rassemblement des forces de progrès et de gauche,10
Francécologie,10
Majorité présidentielle,9
Rassemblement du peuple français,8
Union,7
Ensemble aujourd'hui,7
Rassemblement des hommes et des femmes de gauche et de progrès,7
Alliance des Français pour le progrès;Energie radicale,6
Ecologistes ni à droite ni à gauche,6
Rassemblement des forces de gauche,6
Solidarité écologie,6
Ecologie pluraliste indépendante,4
Rassemblement pour une vraie politique de gauche,4
Changer à gauche,4
Opposition nationale,4
Rassemblement des hommes et des femmes de progrès,4
Union des écologistes,3
Rassemblement pour le progrès social et la démocratie,3
Rassemblement pour changer à gauche,3
Energie radicale;Alliance des Français pour le progrès,3
Forces de progrès,3
Alliance des forces de progrès,3
Union de l'opposition nationale,3
Résistance verte,3
Opposition unie,3
Rassemblement du peuple de gauche,3
Rassemblement pour se défendre et changer,2
Rassemblement pour le changement,2
Rassemblement à gauche pour changer de politique,2
Toulouse ensemble,2
Ecologistes de gauche,2
Rassemblement contre la droite et pour changer de politique,2
Ecologie et développement,2
Union des écologistes indépendants,2
Progrès et solidarité,2
Energie radicale,1
Renouveau économique social et politique pour la France,1
Pour Nice notre ville;Majorité présidentielle,1
France éclairée,1
Union nationale les bleus,1
Union de l'opposition renouveau du rassemblement républicain,1
Ecologie politiquement indépendante,1
Nice fraternité,1
Energie sud,1
Gestion verte,1
Action Mandelieu,1
Convergence pour une vraie gauche,1
Union écologiste,1
Elémentairement vôtre,1
Union pour la France;Union républicaine et libérale,1
Ecologie République,1
Force verte,1
Union des citoyens,1
Front social démocratique et républicain,1
Marseillais il faut se réveiller,1
Temps vert,1
Emploi solidarité écologie,1
Utopia,1
Une démocratie nouvelle,1
Rassemblement des femmes et des hommes de progrès,1
Reconstruire à gauche,1
Union pour la démocratie libérale,1
Ecologie et citoyenneté,1
Renouveau pour le Calvados,1
Démocratie et progrès,1
Réagir librement,1
Un vrai libéralisme,1
Union pour le Cher et la France,1
Entente Ecologiste,1
Convaincre ensemble,1
Entente démocratique pour le changement à gauche,1
Alliance des Français pour le progrès;Génération action,1
Ecologiste et régionaliste de gauche,1
Rassemblement pour la Creuse,1
Union pour la Creuse,1
Candidature bizarre,1
Union pour le Bergeracois,1
Union de l'opposition et défense du monde rural,1
Nouvelle génération centriste,1
A gauche naturellement,1
Union républicaine pour l'Eure-et-Loir,1
Sos patrimoine économique du Finistère,1
Sos patrimoine économique,1
Union républicaine,1
Alliance des forces de progrès pour la Corse,1
Mouvement pour la sixième République,1
Gard fraternité,1
Rassemblement républicain radical pour le renouveau par des réformes réalistes,1
France unie,1
Agir pour une France libérale sociale et écologique,1
Ecologie et nature,1
Union pour la France;Ensemble pour gagner,1
Ecologie humaniste réaliste libérale,1
Ensemble pour un nouvel élan,1
Union pour la France;Union pour la Haute-Garonne,1
Action rurale,1
Ecologie démocratie progrès,1
Valeurs socialistes,1
Rassemblement pour une autre politique,1
Priorité à l'écologie,1
Socialisme et liberté,1
Refondation pour changer à gauche,1
Autrement,1
Une politique de l'emploi,1
Entente des écologistes;Entente des écologistes de la Méditerranée,1
Courage et partage,1
Rassemblement européen des réformateurs,1
Rassemblement des Français de progrès,1
Justice paix sociale équité et retour aux valeurs qui ont fait de notre pays un grand pays,1
Oxygéner la gauche,1
Rassemblement de la gauche et des forces de progrès,1
Isère environnement solidarités,1
Union pour la Franche-Comté,1
