titulaire-soutien,count
non mentionné,654
Front national,552
Parti communiste français,522
Nouveaux écologistes du rassemblement nature et animaux,387
Verts;Génération écologie,293
Lutte ouvrière,234
Rassemblement pour la République;Union pour la démocratie française,200
Parti socialiste,192
Union pour la démocratie française;Rassemblement pour la République,170
Génération écologie;Verts,114
Parti de la loi naturelle,94
Nouveaux écologistes du rassemblement nature et animaux;Union nationale écologiste;Parti pour la défense des animaux;Mouvement universaliste,82
Ligue communiste révolutionnaire,65
Alliance populaire,64
Parti socialiste;Mouvement des radicaux de gauche,62
Ecologie les Verts;Génération écologie,59
Rassemblement pour la République,58
indépendant,57
Mouvement des citoyens,51
Union pour la démocratie française,50
Union des indépendants,49
Parti des travailleurs,44
Verts,39
Solidarité écologie gauche alternative,39
Mouvement des démocrates,35
Mouvement des réformateurs,34
Centre national des indépendants;Démocratie chrétienne française,33
Alliance pour l'écologie et la démocratie,33
Centre national des indépendants et paysans;Démocratie chrétienne française,23
Parti du ras le bol,23
Parti des travailleurs;Alliance européenne des travailleurs,22
sans étiquette,20
Parti des travailleurs;Alliance européenne des travailleurs;Entente internationale des travailleurs,19
Chasse pêche nature traditions,16
Génération écologie,15
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants,13
aucun parti politique,12
libre,11
divers droite,11
communiste,11
Nouvelle solidarité,9
Rassemblement pour la République;Centre national des indépendants,8
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,8
indépendants,8
Mouvement des radicaux de gauche,7
Ecologie les Verts,7
Mouvement des radicaux de gauche;Parti socialiste,7
socialiste,7
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union des indépendants,7
gaulliste,6
Génération écologie;Verts;Solidarités écologie,6
Génération écologie;Verts;Alternative rouge et verte,6
Centre national des indépendants et paysans,5
Centre national des indépendants,5
gauche,5
Solidarité écologie gauche alternative;Alternative rouge et verte,5
socialistes,5
